                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 2.4596,                 1.7493,                 2.1436,                0.15247,                    0.2,                0.06516,                0.03436,                 3.6029,                 3.9554,                 3.7306,              0.0011486,              0.0011486,              0.0011486
                    131,                 2.2474,                 1.6473,                  2.057,                0.27472,                0.26667,                0.10315,                0.03696,                 3.2215,                 2.6813,                 3.0813,               0.001142,               0.001142,               0.001142
                    132,                 2.2575,                 1.7406,                 2.0737,                 0.4546,                0.26667,                0.26434,                0.05982,                 2.9893,                  1.979,                 2.3755,              0.0011354,              0.0011354,              0.0011354
                    133,                 2.1329,                 1.7238,                 2.0593,                0.40899,                    0.4,                0.33328,                0.08946,                 2.9991,                  2.021,                 2.3914,              0.0011288,              0.0011288,              0.0011288
                    134,                 2.2511,                 1.7288,                  2.079,                0.07203,                    0.2,                0.02377,                0.00607,                 3.4315,                 2.6153,                 2.8251,              0.0011222,              0.0011222,              0.0011222
                    135,                 2.1465,                 1.7075,                 1.9819,                0.02347,                0.13333,                0.00974,                0.00212,                 3.6554,                  3.514,                 3.3482,              0.0011156,              0.0011156,              0.0011156
                    136,                 2.2865,                  1.703,                 2.0587,                0.13242,                0.26667,                0.05086,                0.00976,                 3.6584,                 3.2813,                  3.428,               0.001109,               0.001109,               0.001109
                    137,                 2.1891,                 1.6251,                 2.0557,                0.15318,                0.13333,                0.05569,                0.00696,                 3.7939,                 3.1765,                 3.2589,              0.0011024,              0.0011024,              0.0011024
                    138,                 2.1214,                 1.6341,                 2.0346,                 0.2394,                    0.2,                0.09256,                0.01074,                 3.7638,                 3.0446,                 3.1713,              0.0010958,              0.0010958,              0.0010958
                    139,                 2.1909,                 1.7106,                 2.0741,                0.03729,                0.06667,                0.00793,                0.00222,                 3.9226,                 4.6422,                 3.2612,              0.0010892,              0.0010892,              0.0010892
                    140,                 2.1768,                 1.6728,                  1.955,                 0.2268,                0.13333,                 0.0736,                0.01519,                 2.8754,                 4.3081,                 2.4345,              0.0010826,              0.0010826,              0.0010826
                    141,                 2.1624,                 1.6822,                 2.0342,                 0.1053,                0.66667,                0.16095,                  0.069,                 2.3585,                 3.4553,                 2.1077,               0.001076,               0.001076,               0.001076
                    142,                 2.1756,                 1.6298,                 1.9556,                0.23337,                0.60902,                0.29176,                0.11022,                 2.3258,                  2.374,                  2.089,              0.0010694,              0.0010694,              0.0010694
                    143,                 2.1749,                 1.6822,                 2.0429,                0.30265,                0.66667,                0.32927,                0.14546,                 2.2429,                 2.1712,                 2.0221,              0.0010628,              0.0010628,              0.0010628
